POSTNR,POSTSTAD,POSTNR- OG STAD,BRUKSOMRÅDE,FOLKETAL,BYDEL,KOMMNR,KOMMUNE,FYLKE,LAT,LON,DATAKVALITET,DATAKVALITETSFORKLARING,SIST OPPDATERT
5989,Hersvikbygda (ikkje i bruk),5989 HERSVIKBYGDA (ikkje i bruk),Historisk,,,1412,Solund,Sogn og Fjordane,61.1729,4.8963,6,Usikker plassering,04/10/2018 02:10
5990,Kolgrov (ikkje i bruk),5990 KOLGROV (ikkje i bruk),Historisk,,,1412,Solund,Sogn og Fjordane,61.01898,4.7417,6,Usikker plassering,04/10/2018 02:10
5991,Ostereidet,5991 OSTEREIDET,Postboksar,,,1263,Lindås,Hordaland,60.62591,5.47281,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
5993,Ostereidet,5993 OSTEREIDET,Gate-/veg-adresse,1103,,1263,Lindås,Hordaland,60.6233,5.4785,2,Koordinatane er retta av Erik Bolstad,19/09/2013 00:39
5994,Vikanes,5994 VIKANES,Gate-/veg-adresse,150,,1263,Lindås,Hordaland,60.6993,5.5874,2,Koordinatane er retta av Erik Bolstad,28/10/2018 12:47
5995,Ytrøygrend (ikkje i bruk),5995 YTRØYGREND (ikkje i bruk),Historisk,,,1412,Solund,Sogn og Fjordane,61.0795,4.6899,6,Usikker plassering,04/10/2018 02:10
6000,Ålesund (ikkje i bruk),6000 ÅLESUND (ikkje i bruk),Historisk,,,1504,Ålesund,Møre og Romsdal,62.47225,6.15492,6,Usikker plassering,04/10/2018 01:02
6001,Ålesund,6001 ÅLESUND,Postboksar,,,1504,Ålesund,Møre og Romsdal,62.47155,6.15591,1,Koordinatane gjeld postkontoret,04/10/2018 01:02
6002,Ålesund,6002 ÅLESUND,Gate-/veg-adresse,1164,,1504,Ålesund,Møre og Romsdal,62.4751,6.1605,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:46
6003,Ålesund,6003 ÅLESUND,Gate-/veg-adresse,1723,,1504,Ålesund,Møre og Romsdal,62.472,6.1672,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:47
6004,Ålesund,6004 ÅLESUND,Gate-/veg-adresse,1081,,1504,Ålesund,Møre og Romsdal,62.4717,6.1489,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:46
6005,Ålesund,6005 ÅLESUND,Gate-/veg-adresse,2199,,1504,Ålesund,Møre og Romsdal,62.4705,6.1351,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:46
6006,Ålesund,6006 ÅLESUND,Gate-/veg-adresse,3719,,1504,Ålesund,Møre og Romsdal,62.4655,6.1138,2,Koordinatane er retta av Erik Bolstad,28/10/2018 02:07
6007,Ålesund,6007 ÅLESUND,Gate-/veg-adresse,1807,,1504,Ålesund,Møre og Romsdal,62.4734,6.1878,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:42
6008,Ålesund,6008 ÅLESUND,Gate-/veg-adresse,2409,,1504,Ålesund,Møre og Romsdal,62.4722,6.2113,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:38
6009,Ålesund,6009 ÅLESUND,Gate-/veg-adresse,2143,,1504,Ålesund,Møre og Romsdal,62.4743,6.2448,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:42
6010,Ålesund,6010 ÅLESUND,Gate-/veg-adresse,3343,,1504,Ålesund,Møre og Romsdal,62.4552,6.3606,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:43
6011,Ålesund,6011 ÅLESUND,Gate-/veg-adresse,2389,,1504,Ålesund,Møre og Romsdal,62.4672,6.3802,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:38
6012,Ålesund,6012 ÅLESUND,Gate-/veg-adresse,1885,,1504,Ålesund,Møre og Romsdal,62.4389,6.38,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:41
6013,Ålesund,6013 ÅLESUND,Gate-/veg-adresse,2941,,1504,Ålesund,Møre og Romsdal,62.4311,6.4318,2,Koordinatane er retta av Erik Bolstad,28/10/2018 02:07
6014,Ålesund,6014 ÅLESUND,Gate-/veg-adresse,2336,,1504,Ålesund,Møre og Romsdal,62.4699,6.3058,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:38
6015,Ålesund,6015 ÅLESUND,Gate-/veg-adresse,1489,,1504,Ålesund,Møre og Romsdal,62.4652,6.2555,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:40
6016,Ålesund,6016 ÅLESUND,Gate-/veg-adresse,2310,,1504,Ålesund,Møre og Romsdal,62.4602,6.2735,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:43
6017,Ålesund,6017 ÅLESUND,Gate-/veg-adresse,2997,,1504,Ålesund,Møre og Romsdal,62.4637,6.3199,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:41
6018,Ålesund,6018 ÅLESUND,Gate-/veg-adresse,1883,,1504,Ålesund,Møre og Romsdal,62.4669,6.3474,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:42
6019,Ålesund,6019 ÅLESUND,Gate-/veg-adresse,862,,1504,Ålesund,Møre og Romsdal,62.4784,6.3764,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:42
6020,Ålesund,6020 ÅLESUND,Gate-/veg-adresse,2743,,1504,Ålesund,Møre og Romsdal,62.4372,6.3547,2,Koordinatane er retta av Erik Bolstad,22/10/2018 22:42
6021,Ålesund,6021 ÅLESUND,Postboksar,,,1504,Ålesund,Møre og Romsdal,62.47244,6.24035,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
6022,Ålesund,6022 ÅLESUND,Postboksar,,,1504,Ålesund,Møre og Romsdal,62.46666,6.36103,1,Koordinatane gjeld postkontoret,11/10/2011 09:55
